bpld,same_sex,coef,_low,_upp,n_same_sex,n,origin_score
Albania,TRUE,0.2318661359508444,0.07396105258642663,0.38977121931526215,15,3619,2
Algeria,TRUE,0.5865929939589677,0.12204830533297154,1.0511376825849639,9,936,-1.1
Argentina,TRUE,1.432395138900434,1.0721940789551552,1.7925961988457126,92,5486,2.6
Armenia,TRUE,0.29940119760479045,-0.021694673670796416,0.6204970688803774,7,2241,0.7
Australia,TRUE,2.6502562164445385,2.040572286087254,3.2599401468018234,104,3883,4.6
Austria,TRUE,1.9060175697559436,0.6029641267747337,3.209071012737154,13,768,2.6
Azerbaijan,TRUE,0.6623414788525442,-0.5064348329289602,1.8311177906340488,3,848,1
Bangladesh,TRUE,0.4600704368393772,0.23123467889851979,0.6889061947802345,39,8104,-1
Barbados,TRUE,1.401472533112256,0.07973508062403684,2.723209985600475,6,472,0
Belgium,TRUE,2.8893756845564074,1.5340344366000762,4.2447169325127385,25,1039,5.4
Bhutan,TRUE,0.20607907445187615,-0.03364873440896989,0.4458068833127222,5,1293,0
Bolivia,TRUE,0.10531013835746272,-0.005861803687525163,0.21648208040245062,4,1676,2.4
Bosnia,TRUE,0.4230166471414981,0.1432724863945683,0.702760807888428,23,5077,0.1
Brazil,TRUE,1.7399200829186618,1.4791509735372177,2.0006891923001064,323,14909,4.1
Bulgaria,TRUE,1.047771371598304,0.46265764063463144,1.6328851025619762,33,3327,0.9
Burma (Myanmar),TRUE,0.5245081386146779,0.14892414492292494,0.900092132306431,17,4027,0
Byelorussia,TRUE,0.4601996570033476,0.09099076356488067,0.8294085504418146,12,2616,-0.5
Cambodia (Kampuchea),TRUE,0.5029437318209046,0.20360225578151983,0.8022852078602892,17,1716,1.1
Cameroon,TRUE,0.21387123214799456,-0.04549397198582838,0.4732364362818175,4,1437,-0.3
Canada,TRUE,1.4291025118535232,1.2568744217507195,1.601330601956327,419,28229,4.8
Chile,TRUE,1.7695883265918553,1.061891947711727,2.4772847054719835,39,2352,0
China,TRUE,0.42474156237544475,0.3567009166545791,0.49278220809631035,311,64178,0.2
Colombia,TRUE,1.2039077761594141,1.0058166966082127,1.4019988557106153,249,17616,4.1
Congo,TRUE,0,0,0,0,325,0
Costa Rica,TRUE,1.844375367863449,0.7408109912662886,2.9479397444606095,34,1913,2.4
Croatia,TRUE,0.8269531327279561,0.28780142118254176,1.3661048442733705,10,943,3.1
Cyprus,TRUE,2.2506082725060828,-1.1427002634011258,5.643916808413292,2,73,0.7
Czech Republic,TRUE,0.39519759879939975,0.052288507626418054,0.7381066899723814,6,1002,3.6
Denmark,TRUE,0.6250467849389925,0.11850115659936171,1.1315924132786233,7,847,5.9
Dominican Republic,TRUE,0.754531297492637,0.5452903998203895,0.9637721951648845,106,13552,1.8
Ecuador,TRUE,0.7033723933631999,0.4656509604858049,0.941093826240595,70,8262,2.9
Egypt/United Arab Rep.,TRUE,0.47952581385150955,0.24984864362519063,0.7092029840778284,31,5761,1
El Salvador,TRUE,0.5247646926299265,0.3890009159499662,0.660528469309887,108,18903,2
England,TRUE,1.1476968694246836,0.8509604001179427,1.4444333387314245,95,8006,3.5
Estonia,TRUE,0,0,0,0,83,2.4
Ethiopia,TRUE,0.3329779312212294,0.15069497885650368,0.515260883585955,23,5282,0
Fiji,TRUE,0.6904545912710413,0.056785200506439225,1.3241239820356432,7,1124,1.2
Finland,TRUE,2.2928250820660545,0.8151251910335561,3.7705249730985533,15,666,4.4
