state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
Alabama,2008,FALSE,none,1453172,15721,1453172,15721,FALSE,Alabama_FALSE_none
Alabama,2008,FALSE,one,28085,295,28085,295,FALSE,Alabama_FALSE_one
Alabama,2008,FALSE,two,28770,286,28770,286,FALSE,Alabama_FALSE_two
Alabama,2008,TRUE,none,5441,66,5441,66,FALSE,Alabama_TRUE_none
Alabama,2008,TRUE,one,518,6,518,6,FALSE,Alabama_TRUE_one
Alabama,2008,TRUE,two,0,0,0,0,FALSE,Alabama_TRUE_two
Alabama,2009,FALSE,none,1439893,15890,1439893,15890,FALSE,Alabama_FALSE_none
Alabama,2009,FALSE,one,26250,280,26250,280,FALSE,Alabama_FALSE_one
Alabama,2009,FALSE,two,33360,314,33360,314,FALSE,Alabama_FALSE_two
Alabama,2009,TRUE,none,7572,90,7572,90,FALSE,Alabama_TRUE_none
Alabama,2009,TRUE,one,0,0,0,0,FALSE,Alabama_TRUE_one
Alabama,2009,TRUE,two,182,2,182,2,FALSE,Alabama_TRUE_two
Alabama,2010,FALSE,none,1402858,15267,1402858,15267,FALSE,Alabama_FALSE_none
Alabama,2010,FALSE,one,27689,276,27689,276,FALSE,Alabama_FALSE_one
Alabama,2010,FALSE,two,35645,320,35645,320,FALSE,Alabama_FALSE_two
Alabama,2010,TRUE,none,8849,86,8849,86,FALSE,Alabama_TRUE_none
Alabama,2010,TRUE,one,160,2,160,2,FALSE,Alabama_TRUE_one
Alabama,2010,TRUE,two,218,2,218,2,FALSE,Alabama_TRUE_two
Alabama,2011,FALSE,none,1426999,14737,1426999,14737,FALSE,Alabama_FALSE_none
Alabama,2011,FALSE,one,25125,242,25125,242,FALSE,Alabama_FALSE_one
Alabama,2011,FALSE,two,25235,214,25235,214,FALSE,Alabama_FALSE_two
Alabama,2011,TRUE,none,9633,108,9633,108,FALSE,Alabama_TRUE_none
Alabama,2011,TRUE,one,175,2,175,2,FALSE,Alabama_TRUE_one
Alabama,2011,TRUE,two,0,0,0,0,FALSE,Alabama_TRUE_two
Alabama,2012,FALSE,none,1390797,14620,1390797,14620,FALSE,Alabama_FALSE_none
Alabama,2012,FALSE,one,34600,295,34600,295,FALSE,Alabama_FALSE_one
Alabama,2012,FALSE,two,39026,275,39026,275,FALSE,Alabama_FALSE_two
Alabama,2012,TRUE,none,10733,118,10733,118,FALSE,Alabama_TRUE_none
Alabama,2012,TRUE,one,0,0,0,0,FALSE,Alabama_TRUE_one
Alabama,2012,TRUE,two,630,2,630,2,FALSE,Alabama_TRUE_two
Alabama,2013,FALSE,none,1335318,14362,1335318,14362,FALSE,Alabama_FALSE_none
Alabama,2013,FALSE,one,25310,255,25310,255,FALSE,Alabama_FALSE_one
Alabama,2013,FALSE,two,33064,273,33064,273,FALSE,Alabama_FALSE_two
Alabama,2013,TRUE,none,9507,113,9507,113,FALSE,Alabama_TRUE_none
Alabama,2013,TRUE,one,251,4,251,4,FALSE,Alabama_TRUE_one
Alabama,2013,TRUE,two,0,0,0,0,FALSE,Alabama_TRUE_two
