bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
American Samoa,Rhode Island,2019,60,0,60,10000,1997.2215119692128
American Samoa,New York,2019,292,0,292,10000,1997.2215119692128
American Samoa,Indiana,2019,89,0,89,10000,1997.2215119692128
American Samoa,Missouri,2019,2285,0,2285,10000,1997.2215119692128
American Samoa,North Dakota,2019,320,0,340,10000,1997.2215119692128
American Samoa,Florida,2019,50,0,150,10000,1997.2215119692128
American Samoa,Georgia,2019,168,0,168,10000,1997.2215119692128
American Samoa,Mississippi,2018,47,0,47,10000,1987.0254443041663
American Samoa,North Carolina,2018,412,0,412,10000,1987.0254443041663
American Samoa,South Carolina,2018,89,0,89,10000,1987.0254443041663
American Samoa,Texas,2018,1323,0,2016,10000,1987.0254443041663
American Samoa,Texas,2019,303,0,597,10000,1997.2215119692128
American Samoa,Kentucky,2018,87,0,87,10000,1987.0254443041663
American Samoa,Maryland,2018,71,0,71,10000,1987.0254443041663
American Samoa,Maryland,2019,230,0,230,10000,1997.2215119692128
American Samoa,Arizona,2018,314,0,314,10000,1987.0254443041663
American Samoa,Arizona,2019,653,0,2430,10000,1997.2215119692128
American Samoa,Idaho,2018,73,0,73,10000,1987.0254443041663
American Samoa,Idaho,2019,38,0,38,10000,1997.2215119692128
American Samoa,Nevada,2018,208,0,403,10000,1987.0254443041663
American Samoa,Nevada,2019,543,0,1133,10000,1997.2215119692128
American Samoa,New Mexico,2018,171,0,171,10000,1987.0254443041663
American Samoa,New Mexico,2019,383,0,383,10000,1997.2215119692128
American Samoa,Utah,2018,883,0,2389,10000,1987.0254443041663
American Samoa,Utah,2019,1034,0,2875,10000,1997.2215119692128
American Samoa,California,2018,2148,0,4653,10000,1987.0254443041663
American Samoa,California,2019,3385,103,6805,10000,1997.2215119692128
American Samoa,Oregon,2018,108,0,609,10000,1987.0254443041663
American Samoa,Oregon,2019,113,75,469,10000,1997.2215119692128
American Samoa,Washington,2018,1508,0,3694,10000,1987.0254443041663
American Samoa,Washington,2019,1700,0,3878,10000,1997.2215119692128
American Samoa,Alaska,2018,341,0,837,10000,1987.0254443041663
American Samoa,Alaska,2019,674,0,1964,10000,1997.2215119692128
American Samoa,Hawaii,2018,2514,0,4445,10000,1987.0254443041663
American Samoa,Hawaii,2019,2781,52,4878,10000,1997.2215119692128
"Samoa, 1940-1950",Connecticut,2016,25,0,25,10010,1986.8374463519312
"Samoa, 1940-1950",Massachusetts,2014,98,0,208,10010,1989.3461109043542
"Samoa, 1940-1950",Massachusetts,2016,72,0,72,10010,1986.8374463519312
"Samoa, 1940-1950",New Hampshire,2009,85,0,85,10010,1983.2596861547008
"Samoa, 1940-1950",New York,2009,71,0,71,10010,1983.2596861547008
"Samoa, 1940-1950",New York,2012,84,0,84,10010,1984.8428713858425
"Samoa, 1940-1950",New York,2017,134,0,134,10010,1990.6920281626165
"Samoa, 1940-1950",Illinois,2009,110,0,110,10010,1983.2596861547008
"Samoa, 1940-1950",Illinois,2012,77,0,142,10010,1984.8428713858425
"Samoa, 1940-1950",Illinois,2013,157,0,157,10010,1988.0581167238843
"Samoa, 1940-1950",Illinois,2019,119,0,119,10010,1988.8863432969392
"Samoa, 1940-1950",Indiana,2010,79,0,212,10010,1987.3104357479879
"Samoa, 1940-1950",Michigan,2009,51,0,51,10010,1983.2596861547008
"Samoa, 1940-1950",Michigan,2012,28,0,28,10010,1984.8428713858425
"Samoa, 1940-1950",Michigan,2018,97,0,466,10010,1990.1904521768365
"Samoa, 1940-1950",Ohio,2010,86,0,86,10010,1987.3104357479879
"Samoa, 1940-1950",Ohio,2012,306,0,306,10010,1984.8428713858425
"Samoa, 1940-1950",Ohio,2013,0,298,298,10010,1988.0581167238843
"Samoa, 1940-1950",Ohio,2015,212,0,212,10010,1986.9757033248081
"Samoa, 1940-1950",Ohio,2017,0,147,147,10010,1990.6920281626165
"Samoa, 1940-1950",Wisconsin,2008,58,0,58,10010,1984.4574853290048
"Samoa, 1940-1950",Wisconsin,2011,54,0,54,10010,1985.5930656934306
"Samoa, 1940-1950",Wisconsin,2016,131,0,131,10010,1986.8374463519312
"Samoa, 1940-1950",Kansas,2008,102,0,102,10010,1984.4574853290048
"Samoa, 1940-1950",Kansas,2010,193,0,193,10010,1987.3104357479879
"Samoa, 1940-1950",Minnesota,2013,126,0,454,10010,1988.0581167238843
"Samoa, 1940-1950",Missouri,2008,237,0,237,10010,1984.4574853290048
"Samoa, 1940-1950",Missouri,2009,155,0,155,10010,1983.2596861547008
"Samoa, 1940-1950",Missouri,2010,187,0,187,10010,1987.3104357479879
"Samoa, 1940-1950",Missouri,2011,77,0,77,10010,1985.5930656934306
"Samoa, 1940-1950",Missouri,2014,168,0,376,10010,1989.3461109043542
"Samoa, 1940-1950",Missouri,2016,94,0,94,10010,1986.8374463519312
"Samoa, 1940-1950",Missouri,2017,275,0,275,10010,1990.6920281626165
"Samoa, 1940-1950",Missouri,2018,241,0,633,10010,1990.1904521768365
"Samoa, 1940-1950",Missouri,2019,39,0,39,10010,1988.8863432969392
"Samoa, 1940-1950",North Dakota,2008,102,0,102,10010,1984.4574853290048
"Samoa, 1940-1950",Virginia,2018,154,0,180,10010,1990.1904521768365
"Samoa, 1940-1950",Alabama,2008,200,0,200,10010,1984.4574853290048
"Samoa, 1940-1950",Arkansas,2014,70,0,70,10010,1989.3461109043542
"Samoa, 1940-1950",Arkansas,2019,145,0,407,10010,1988.8863432969392
"Samoa, 1940-1950",Florida,2009,263,0,263,10010,1983.2596861547008
"Samoa, 1940-1950",Florida,2010,123,0,123,10010,1987.3104357479879
"Samoa, 1940-1950",Florida,2011,40,0,40,10010,1985.5930656934306
"Samoa, 1940-1950",Florida,2013,170,0,213,10010,1988.0581167238843
"Samoa, 1940-1950",Florida,2018,129,0,305,10010,1990.1904521768365
"Samoa, 1940-1950",Florida,2019,110,0,290,10010,1988.8863432969392
"Samoa, 1940-1950",Georgia,2008,69,0,69,10010,1984.4574853290048
"Samoa, 1940-1950",Georgia,2011,66,0,66,10010,1985.5930656934306
"Samoa, 1940-1950",Georgia,2014,19,0,89,10010,1989.3461109043542
"Samoa, 1940-1950",Georgia,2017,21,0,509,10010,1990.6920281626165
"Samoa, 1940-1950",Louisiana,2011,240,0,240,10010,1985.5930656934306
"Samoa, 1940-1950",North Carolina,2012,155,0,155,10010,1984.8428713858425
"Samoa, 1940-1950",North Carolina,2013,86,0,86,10010,1988.0581167238843
"Samoa, 1940-1950",North Carolina,2018,278,0,714,10010,1990.1904521768365
"Samoa, 1940-1950",Texas,2008,591,0,1000,10010,1984.4574853290048
"Samoa, 1940-1950",Texas,2009,68,0,68,10010,1983.2596861547008
"Samoa, 1940-1950",Texas,2010,52,0,52,10010,1987.3104357479879
"Samoa, 1940-1950",Texas,2013,58,0,555,10010,1988.0581167238843
