bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
American Samoa,North Carolina,2018,97,0,412,10000,2017
American Samoa,Arizona,2019,107,0,2430,10000,2019
American Samoa,California,2019,236,0,6805,10000,2019
"Samoa, 1940-1950",Michigan,2012,28,0,28,10010,2012
"Samoa, 1940-1950",Ohio,2017,0,147,147,10010,2016
"Samoa, 1940-1950",North Carolina,2012,155,0,155,10010,2012
"Samoa, 1940-1950",Texas,2016,318,0,486,10010,2015.4591194968552
"Samoa, 1940-1950",Utah,2017,48,0,363,10010,2016
"Samoa, 1940-1950",California,2015,82,0,6322,10010,2015
"Samoa, 1940-1950",California,2018,54,0,4200,10010,2018
"Samoa, 1940-1950",Hawaii,2008,118,0,2559,10010,2008
Canada,Connecticut,2008,67,0,18881,15000,2007.3851584436422
Canada,Connecticut,2009,84,0,16289,15000,2008.3995349918623
Canada,Connecticut,2010,61,0,14286,15000,2009.4210251046024
Canada,Connecticut,2011,41,0,15992,15000,2010.4264075692647
Canada,Connecticut,2014,131,0,14664,15000,2013.3600231127987
Canada,Connecticut,2016,344,0,12783,15000,2015.4737836445274
Canada,Connecticut,2018,40,0,13890,15000,2017.4850823729805
Canada,Maine,2009,141,0,13160,15000,2008.3995349918623
Canada,Maine,2011,451,0,13085,15000,2010.4264075692647
Canada,Maine,2015,23,0,9123,15000,2014.475281210943
Canada,Maine,2016,292,0,11395,15000,2015.4737836445274
Canada,Maine,2019,106,0,9938,15000,2018.4991384615385
Canada,Massachusetts,2008,96,0,31782,15000,2007.3851584436422
Canada,Massachusetts,2009,94,0,29756,15000,2008.3995349918623
Canada,Massachusetts,2010,56,0,29790,15000,2009.4210251046024
Canada,Massachusetts,2011,210,80,29520,15000,2010.4264075692647
Canada,Massachusetts,2012,625,0,26538,15000,2011.4037884538916
Canada,Massachusetts,2013,1035,0,33755,15000,2012.4459931622648
Canada,Massachusetts,2014,208,0,29681,15000,2013.3600231127987
Canada,Massachusetts,2015,582,0,36349,15000,2014.475281210943
Canada,Massachusetts,2016,607,0,27815,15000,2015.4737836445274
Canada,Massachusetts,2017,396,56,25416,15000,2016.4975922526405
Canada,Massachusetts,2018,103,0,31631,15000,2017.4850823729805
Canada,Massachusetts,2019,280,0,27805,15000,2018.4991384615385
Canada,New Hampshire,2011,81,0,9472,15000,2010.4264075692647
Canada,New Hampshire,2012,63,0,9983,15000,2011.4037884538916
Canada,New Hampshire,2014,33,0,10214,15000,2013.3600231127987
Canada,New Hampshire,2015,238,0,8346,15000,2014.475281210943
Canada,New Hampshire,2016,169,0,7958,15000,2015.4737836445274
Canada,New Hampshire,2017,79,0,10157,15000,2016.4975922526405
Canada,Rhode Island,2008,268,0,3929,15000,2007.3851584436422
Canada,Rhode Island,2015,140,0,3240,15000,2014.475281210943
Canada,Vermont,2008,116,0,6188,15000,2007.3851584436422
Canada,Vermont,2009,80,0,5062,15000,2008.3995349918623
Canada,Vermont,2010,60,0,6827,15000,2009.4210251046024
Canada,Vermont,2016,32,0,5559,15000,2015.4737836445274
Canada,Vermont,2017,175,0,4750,15000,2016.4975922526405
Canada,Delaware,2018,149,0,1149,15000,2017.4850823729805
Canada,New Jersey,2008,194,0,13775,15000,2007.3851584436422
Canada,New Jersey,2009,106,0,14278,15000,2008.3995349918623
Canada,New Jersey,2010,247,0,17689,15000,2009.4210251046024
Canada,New Jersey,2012,59,0,15764,15000,2011.4037884538916
Canada,New Jersey,2013,93,0,16436,15000,2012.4459931622648
Canada,New Jersey,2014,158,0,14410,15000,2013.3600231127987
Canada,New Jersey,2015,653,0,14648,15000,2014.475281210943
Canada,New Jersey,2016,176,0,14927,15000,2015.4737836445274
Canada,New Jersey,2017,190,0,15423,15000,2016.4975922526405
Canada,New Jersey,2018,474,0,16349,15000,2017.4850823729805
Canada,New Jersey,2019,160,0,18574,15000,2018.4991384615385
Canada,New York,2008,2196,0,59728,15000,2007.3851584436422
Canada,New York,2009,799,0,55169,15000,2008.3995349918623
Canada,New York,2010,922,0,57498,15000,2009.4210251046024
