State,State_Abb,Year,sodomy_illega,marriage_ban,marriage_equality,civil_union,employment_discrim_so,hate_crime_so,joint_adoption,adoption_religious_freedom,conversion_therapy_ban,housing_discrim_so,state_ban_local_nondiscrimimation,state_couple_laws
Alabama,AL,1991,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1992,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1993,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1994,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1995,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1996,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1997,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1998,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,1999,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,2000,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,2001,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,2002,1,0,0,0,0,0,0,0,0,0,0,-1
Alabama,AL,2003,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2004,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2005,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2006,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2007,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2008,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2009,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2010,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2011,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2012,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2013,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2014,0,1,0,0,0,0,0,0,0,0,0,0
Alabama,AL,2015,0,0,1,0,0,0,0,0,0,0,0,1
Alabama,AL,2016,0,0,1,0,0,0,0,0,0,0,0,1
Alabama,AL,2017,0,0,1,0,0,0,0,1,0,0,0,1
Alabama,AL,2018,0,0,1,0,0,0,0,1,0,0,0,1
Alabama,AL,2019,0,0,1,0,0,0,0,1,0,0,0,1
Alabama,AL,2020,0,0,1,0,1,0,0,1,0,0,0,1
Alaska,AK,1991,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1992,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1993,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1994,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1995,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1996,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1997,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1998,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,1999,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2000,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2001,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2002,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2003,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2004,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2005,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2006,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2007,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2008,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2009,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2010,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2011,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2012,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2013,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2014,0,0,1,0,0,0,0,0,0,0,0,1
Alaska,AK,2015,0,0,1,0,0,0,0,0,0,0,0,1
Alaska,AK,2016,0,0,1,0,0,0,0,0,0,0,0,1
Alaska,AK,2017,0,0,1,0,0,0,0,0,0,0,0,1
Alaska,AK,2018,0,0,1,0,0,0,0,0,0,0,0,1
Alaska,AK,2019,0,0,1,0,0,0,0,0,0,0,0,1
Alaska,AK,2020,0,0,1,0,1,0,0,0,0,0,0,1
Arizona,AZ,1991,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1992,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1993,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1994,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1995,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1996,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1997,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1998,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,1999,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,2000,1,0,0,0,0,0,0,0,0,0,0,-1
Arizona,AZ,2001,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,2002,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,2003,0,0,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2004,0,0,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2005,0,0,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2006,0,0,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2007,0,0,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2008,0,1,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2009,0,1,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2010,0,1,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2011,0,1,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2012,0,1,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2013,0,1,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2014,0,0,0,0,0,1,0,0,0,0,0,0
Arizona,AZ,2015,0,0,1,0,0,1,0,0,0,0,1,1
Arizona,AZ,2016,0,0,1,0,0,1,0,0,0,0,1,1
Arizona,AZ,2017,0,0,1,0,0,1,0,0,0,0,1,1
Arizona,AZ,2018,0,0,1,0,0,1,0,0,0,0,1,1
Arizona,AZ,2019,0,0,1,0,0,1,0,0,0,0,1,1
Arizona,AZ,2020,0,0,1,0,1,1,0,0,0,0,1,1
Arkansas,AR,1991,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1992,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1993,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1994,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1995,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1996,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1997,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1998,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,1999,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,2000,1,0,0,0,0,0,0,0,0,0,0,-1
Arkansas,AR,2001,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2002,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2003,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2004,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2005,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2006,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2007,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,2008,0,1,0,0,0,0,0,0,0,0,0,0
