term,estimate,std.error,statistic,p.value,rate,policy,model
I(post_2013 * same_sex * mixed),0.3230775966364863,0.051072760156430384,6.3258299658552675,2.518750519025386e-10,0,Full sample,Main effects
I(post_2013 * same_sex * mixed),0.32313056189133205,0.05293156695477413,6.1046853603903655,1.0300338951401702e-9,0,Full sample,With controls
I(post_2013 * same_sex * mixed),0.5099825417522257,0.0920062732580723,5.542910539608033,2.9748486863029504e-8,0,Progressive,Main effects
I(post_2013 * same_sex * mixed),0.5102201732572275,0.09344924189120214,5.4598642314428725,4.764988282169927e-8,0,Progressive,With controls
I(post_2013 * same_sex * mixed),0.2006446790505973,0.1459131478636367,1.3750966378856413,0.16910148657797172,0,Regressive,Main effects
I(post_2013 * same_sex * mixed),0.2007278296121699,0.14649509085772594,1.3702017483105564,0.17062393271713314,0,Regressive,With controls
I(post_2013 * same_sex * mixed),0.32266166466571483,0.051059348343058024,6.319345529007003,2.6267336395402984e-10,0.1,Full sample,Main effects
I(post_2013 * same_sex * mixed),0.3227140423537476,0.052937311118032467,6.096154782667435,1.086502163188619e-9,0.1,Full sample,With controls
I(post_2013 * same_sex * mixed),0.5085218312893872,0.09196621179286046,5.5294419697829165,3.212510456543167e-8,0.1,Progressive,Main effects
I(post_2013 * same_sex * mixed),0.5087562412522136,0.09342078288764995,5.445857180024449,5.1556492954861605e-8,0.1,Progressive,With controls
I(post_2013 * same_sex * mixed),0.20046376906975544,0.14587777026815543,1.3741899722024742,0.16938271306705532,0.1,Regressive,Main effects
I(post_2013 * same_sex * mixed),0.20054827859017177,0.14647846254169603,1.3691315099179473,0.17095817029502855,0.1,Regressive,With controls
I(post_2013 * same_sex * mixed),0.3221953272350166,0.051055413496893465,6.310698614841715,2.7777867239309986e-10,0.2,Full sample,Main effects
I(post_2013 * same_sex * mixed),0.32224712021858626,0.05295186841948158,6.085660994353656,1.160116820343533e-9,0.2,Full sample,With controls
I(post_2013 * same_sex * mixed),0.5071180509574071,0.09190804217710193,5.517667866107055,3.4352789060860573e-8,0.2,Progressive,Main effects
I(post_2013 * same_sex * mixed),0.5073498197397645,0.09337456341007937,5.433490676808865,5.526217235569645e-8,0.2,Progressive,With controls
I(post_2013 * same_sex * mixed),0.20092296336161086,0.14587494907528514,1.3773644113350523,0.1683996101357384,0.2,Regressive,Main effects
I(post_2013 * same_sex * mixed),0.20101137197066163,0.14649189006835966,1.3721672365402668,0.17001138227759657,0.2,Regressive,With controls
I(post_2013 * same_sex * mixed),0.321807647378088,0.05104083116589086,6.304906092382424,2.8836868447399693e-10,0.3,Full sample,Main effects
I(post_2013 * same_sex * mixed),0.32185865322060203,0.05295659591563402,6.077782146974856,1.2185614937959639e-9,0.3,Full sample,With controls
I(post_2013 * same_sex * mixed),0.5058884844967818,0.0918762276127339,5.506195646485887,3.666710211407797e-8,0.3,Progressive,Main effects
