year,n,cat,policy_name,progressive
2008,20636,equal_age,Equal age of consent,TRUE
2009,21797,equal_age,Equal age of consent,TRUE
2010,23560,equal_age,Equal age of consent,TRUE
2011,22285,equal_age,Equal age of consent,TRUE
2012,24576,equal_age,Equal age of consent,TRUE
2013,36158,equal_age,Equal age of consent,TRUE
2014,37519,equal_age,Equal age of consent,TRUE
2015,51667,equal_age,Equal age of consent,TRUE
2016,58515,equal_age,Equal age of consent,TRUE
2017,66367,equal_age,Equal age of consent,TRUE
2018,72313,equal_age,Equal age of consent,TRUE
2019,73087,equal_age,Equal age of consent,TRUE
2008,5147,unequal_age,Unequal age of consent,FALSE
2009,6067,unequal_age,Unequal age of consent,FALSE
2010,5137,unequal_age,Unequal age of consent,FALSE
2011,4991,unequal_age,Unequal age of consent,FALSE
2012,6215,unequal_age,Unequal age of consent,FALSE
2013,8251,unequal_age,Unequal age of consent,FALSE
2014,7225,unequal_age,Unequal age of consent,FALSE
2015,7684,unequal_age,Unequal age of consent,FALSE
2016,9373,unequal_age,Unequal age of consent,FALSE
2017,8772,unequal_age,Unequal age of consent,FALSE
2018,8749,unequal_age,Unequal age of consent,FALSE
2019,10246,unequal_age,Unequal age of consent,FALSE
2008,593,constitution,Constitutional protection,TRUE
2009,1081,constitution,Constitutional protection,TRUE
2010,632,constitution,Constitutional protection,TRUE
2011,503,constitution,Constitutional protection,TRUE
2012,735,constitution,Constitutional protection,TRUE
2013,1971,constitution,Constitutional protection,TRUE
2014,2313,constitution,Constitutional protection,TRUE
2015,4398,constitution,Constitutional protection,TRUE
2016,7088,constitution,Constitutional protection,TRUE
2017,8733,constitution,Constitutional protection,TRUE
2018,9761,constitution,Constitutional protection,TRUE
2019,10512,constitution,Constitutional protection,TRUE
2008,1147,conversion_therapies,Conversion therapy ban,TRUE
2009,1135,conversion_therapies,Conversion therapy ban,TRUE
2010,708,conversion_therapies,Conversion therapy ban,TRUE
2011,1958,conversion_therapies,Conversion therapy ban,TRUE
2012,610,conversion_therapies,Conversion therapy ban,TRUE
2013,2352,conversion_therapies,Conversion therapy ban,TRUE
2014,1564,conversion_therapies,Conversion therapy ban,TRUE
2015,3208,conversion_therapies,Conversion therapy ban,TRUE
2016,5245,conversion_therapies,Conversion therapy ban,TRUE
2017,5937,conversion_therapies,Conversion therapy ban,TRUE
2018,9097,conversion_therapies,Conversion therapy ban,TRUE
2019,7070,conversion_therapies,Conversion therapy ban,TRUE
2008,357,death_penalty,Death penalty,FALSE
2009,841,death_penalty,Death penalty,FALSE
2010,931,death_penalty,Death penalty,FALSE
2011,239,death_penalty,Death penalty,FALSE
2012,914,death_penalty,Death penalty,FALSE
2013,631,death_penalty,Death penalty,FALSE
2014,970,death_penalty,Death penalty,FALSE
2015,1479,death_penalty,Death penalty,FALSE
2016,1906,death_penalty,Death penalty,FALSE
2017,2381,death_penalty,Death penalty,FALSE
2018,1477,death_penalty,Death penalty,FALSE
2019,2205,death_penalty,Death penalty,FALSE
2008,4931,employment_discrim,Employment protection,TRUE
2009,7505,employment_discrim,Employment protection,TRUE
2010,8711,employment_discrim,Employment protection,TRUE
2011,6984,employment_discrim,Employment protection,TRUE
2012,8494,employment_discrim,Employment protection,TRUE
2013,12897,employment_discrim,Employment protection,TRUE
2014,16544,employment_discrim,Employment protection,TRUE
2015,26920,employment_discrim,Employment protection,TRUE
