term,estimate,std.error,statistic,p.value,model
(Intercept),3.9611144816443047,2.1733745427357873,1.8225641295393828,0.06837884632636776,basic
bachelors_puma,0.011466713776758413,0.0069451282332711655,1.651044212808951,0.0987394507658799,basic
black_puma,0.00192265277152911,0.0014240738082656695,1.3501075297990648,0.17699113068547365,basic
hispanic_puma,0.006086754302086794,0.0016650369253067574,3.6556272173756166,2.569682378467695e-4,basic
log_inctot_puma,-0.5840196754366963,0.21394360653988798,-2.7297832586916346,0.0063410950348983,basic
owned_puma,-0.061995804738702885,0.02221331474984957,-2.7909299191433248,0.005258826040952837,basic
age_puma,0.08241035464561237,0.007056961776618921,11.677880262672502,1.918145370265927e-31,basic
immigrant_puma,-0.03169120695605711,0.0028405495700051047,-11.15671674618942,7.51487946873675e-29,basic
poverty_200_puma,0.7337107995055919,0.41939239118287264,1.7494613992309254,0.08022096984615525,basic
hwsei_puma,0.03114385130936244,0.017490119508114514,1.7806540026735265,0.0749785638019051,basic
unemployed_puma,-0.040441716386317036,0.016173668957268378,-2.5004664367229243,0.012407995528358534,basic
valueh_puma,-6.868002715412579e-7,2.340933369061363e-7,-2.9338736446678197,0.003350001983818518,basic
rent_puma,0.0017240860864326363,2.384551409939792e-4,7.230232400299426,4.930613234573393e-13,basic
costelec_puma,9.173476122620544e-5,4.454877735261194e-5,2.059198179561867,0.03948340489761077,basic
density_puma,1.3349145686779243e-6,2.505050747246312e-6,0.5328892319428399,0.5941139942937431,basic
state_policy,0.08684613316920244,0.009258090998334382,9.380565948728185,6.983892874076295e-21,basic
lgbt_nonprofits,0.18979349995153105,0.01785399082237775,10.630312395682907,2.3857128397876452e-26,basic
immigrant_nonprofits,-0.04859630558388132,0.01599622131301361,-3.0379865740133356,0.002383582630201466,basic
(Intercept),5.419442049540716,3.4948876024254103,1.5506770649161041,0.1209890895664655,state fixed effects and clustered SE
bachelors_puma,0.02033090030766183,0.011622893575007379,1.7492116035011465,0.08026413906439933,state fixed effects and clustered SE
black_puma,9.662476919452881e-4,0.001842209136579123,0.5245048853354157,0.5999310952172723,state fixed effects and clustered SE
hispanic_puma,0.004435574705040728,0.0017392281681922982,2.5503121362454313,0.01076731752269936,state fixed effects and clustered SE
log_inctot_puma,-0.2923557808184153,0.19612536867899397,-1.4906576481542548,0.13606136372218589,state fixed effects and clustered SE
owned_puma,-0.0650064752972717,0.026650013795634673,-2.4392661030411884,0.014722579538302744,state fixed effects and clustered SE
age_puma,0.05889799365504915,0.008951273632382357,6.579845067184435,4.782784769482078e-11,state fixed effects and clustered SE
immigrant_puma,-0.03583451380876252,0.005335426879554685,-6.716334909598349,1.8950158741009974e-11,state fixed effects and clustered SE
poverty_200_puma,0.9006235237185555,0.3593326378755534,2.506378293503263,0.01220247717763082,state fixed effects and clustered SE
hwsei_puma,-0.003986102126856517,0.027188710106440223,-0.14660872513817136,0.8834417999612153,state fixed effects and clustered SE
unemployed_puma,-0.006437856124740297,0.01712628605382714,-0.3759049746399427,0.7069900608581494,state fixed effects and clustered SE
valueh_puma,-6.98412769235585e-7,3.042665683140681e-7,-2.2953976610229283,0.021716851754528373,state fixed effects and clustered SE
rent_puma,0.0014873690051912577,3.481685494241515e-4,4.2719797857999255,1.943101129703982e-5,state fixed effects and clustered SE
costelec_puma,-4.604781946703962e-6,7.919856534836389e-5,-0.058142239401046035,0.9536356960643806,state fixed effects and clustered SE
density_puma,-2.5839795628181008e-6,3.3086872708309588e-6,-0.7809682062122324,0.4348270341557565,state fixed effects and clustered SE
state_policy,0.17478606069028316,0.029602423814687424,5.9044509930826,3.5742715729408877e-9,state fixed effects and clustered SE
lgbt_nonprofits,0.17649693061031685,0.05257937685119943,3.3567710608249755,7.895115897265387e-4,state fixed effects and clustered SE
immigrant_nonprofits,-0.040850836717311746,0.01395809396572353,-2.92667729688795,0.0034284771867086157,state fixed effects and clustered SE
(Intercept),8.526278048904645,3.522941633669953,2.42021552881152,0.015516904018695134,state and year fixed effects and clustered SE
bachelors_puma,0.019016069609454702,0.009579394613120138,1.9851013949681016,0.047141810488580814,state and year fixed effects and clustered SE
black_puma,-0.0016917147238303943,0.001608213486260742,-1.051921736935437,0.2928434904616355,state and year fixed effects and clustered SE
hispanic_puma,0.0010760270464876382,0.0019786421981525717,0.543820933108729,0.5865685335216584,state and year fixed effects and clustered SE
log_inctot_puma,0.06558569367481965,0.2031422597779566,0.3228559815496179,0.7468064472207085,state and year fixed effects and clustered SE
owned_puma,-0.10292881751968216,0.03391839446939244,-3.0346017000469736,0.0024104900567604825,state and year fixed effects and clustered SE
age_puma,0.04546776723838873,0.012856508385673295,3.5365564175305897,4.059593500688488e-4,state and year fixed effects and clustered SE
immigrant_puma,-0.032257454069140656,0.0057571041411409295,-5.603069404047283,2.123378140646221e-8,state and year fixed effects and clustered SE
poverty_200_puma,1.244261058324414,0.34714055390613247,3.584314895864529,3.384720720485149e-4,state and year fixed effects and clustered SE
hwsei_puma,-0.006807721430665026,0.02841273478709983,-0.23960106204756892,0.8106410931701287,state and year fixed effects and clustered SE
unemployed_puma,0.05653728635505269,0.012456222965950857,4.538878800547937,5.676213489385009e-6,state and year fixed effects and clustered SE
valueh_puma,-1.044193671422463e-6,3.5627924361057e-7,-2.930829370918436,0.003383000717521659,state and year fixed effects and clustered SE
rent_puma,8.669586242263766e-4,2.7568513496219486e-4,3.144742005568287,0.0016638710918896289,state and year fixed effects and clustered SE
costelec_puma,-8.238664443109034e-5,6.92334909635105e-5,-1.1899825255743959,0.23406218770634218,state and year fixed effects and clustered SE
density_puma,5.084100139517337e-7,2.367224155866974e-6,0.21477054156095887,0.8299476053100328,state and year fixed effects and clustered SE
state_policy,0.011148139987224453,0.03429907988395405,0.325027377554808,0.7451625000269823,state and year fixed effects and clustered SE
lgbt_nonprofits,0.180094380518911,0.06006546109552883,2.9983018066320466,0.002716995285735111,state and year fixed effects and clustered SE
immigrant_nonprofits,-0.03669094435244766,0.01239581291917318,-2.9599466038807405,0.003079203806474159,state and year fixed effects and clustered SE
